name,price,city,production_year,km_driven,engine_type,horsepower,transmission,link
Toyota C-HR  2019 G Nero,827500000,Karachi,2019,114137,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-karachi-9324646
Toyota Corolla Hybrid  2020 ,Call,Islamabad,2020,38381,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-hybrid-2020-for-sale-in-islamabad-8353492
Toyota Prius  2020 S,Call,Islamabad,2020,82283,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-prius-2020-for-sale-in-islamabad-8505833
Toyota C-HR  2018 G-LED,Call,Islamabad,2018,39647,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-c-hr-2018-for-sale-in-islamabad-8472565
Toyota Fortuner  2022 Legender ,176000000,Rawalpindi,2022,41710,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-rawalpindi-9283278
Toyota Corolla  2022 Altis 1.6 X CVT-i Special Edition,64500000,Faisalabad,2022,19921,Petrol,1600 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-faisalabad-9218756
Toyota Passo  2021 X L Package S ,399500000,Lahore,2021,27782,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-lahore-9238801
Toyota Prado  2017 TX 2.7,23000000,Lahore,2017,23666,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2017-for-sale-in-lahore-9211520
Toyota Passo  2021 X,4000000,Gujranwala,2021,40698,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-gujranwala-9302147
Toyota Fortuner  2021 2.8 Sigma 4,148000000,Faisalabad,2021,68614,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-faisalabad-9321467
name,price,city,production_year,km_driven,engine_type,horsepower,transmission,link
Toyota Passo  2021 X L Package S ,4200000,Lahore,2021,10971,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-lahore-9334219
Toyota Corolla  2019 Altis Automatic 1.6,5500000,Islamabad,2019,67485,Petrol,1600 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-islamabad-9332520
Toyota Yaris Hatchback  2021 G 1.0,4600000,Lahore,2021,51161,Petrol,996 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-lahore-9329629
Toyota Corolla  2022 Altis X Automatic 1.6,5400000,Karachi,2022,21358,Petrol,1598 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-karachi-9280669
Toyota Prado  2021 TX L Package 2.7,399000000,Rawalpindi,2021,27936,Petrol,2700 ,Automatic,pakwheels.com/used-cars/toyota-prado-2021-for-sale-in-rawalpindi-9242810
Toyota Hilux  2021 Revo G Automatic 2.8,108000000,Karachi,2021,46019,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-hilux-2021-for-sale-in-karachi-9330005
Toyota Yaris  2024 ATIV CVT 1.3,53500000,Rawalpindi,2024,134,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2024-for-sale-in-rawalpindi-9147535
Toyota Corolla Cross  2024 1.8 HEV X,1000000,Karachi,2024,12509,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-cross-2024-for-sale-in-karachi-9325980
Toyota Yaris  2021 ATIV X CVT 1.5,4500000,Karachi,2021,16650,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-9325490
Toyota Yaris Hatchback  2022 G 1.0,5000000,Rawalpindi,2022,16018,Petrol,996 ,Automatic,pakwheels.com/used-cars/toyota-yaris-hatchback-2022-for-sale-in-rawalpindi-9170938
Toyota Fortuner  2018 2.8 Sigma 4,14000000,Islamabad,2018,95735,Diesel,2800 ,Automatic,pakwheels.com/used-cars/toyota-fortuner-2018-for-sale-in-islamabad-9170941
Toyota Crown  2017 Athlete S Package,225000000,Islamabad,2017,32203,Petrol,3500 ,Automatic,pakwheels.com/used-cars/toyota-crown-2017-for-sale-in-islamabad-9247391
Toyota Vitz  2020 ,4600000,Islamabad,2020,86358,Petrol,1000 ,Automatic,pakwheels.com/used-cars/toyota-vitz-2020-for-sale-in-islamabad-9247383
Toyota Prius  2023 1.8 U Hybrid,16000000,Islamabad,2023,14496,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-prius-2023-for-sale-in-islamabad-9217629
Toyota Yaris  2023 ATIV CVT 1.3,5200000,Islamabad,2023,3273,Petrol,1300 ,Automatic,pakwheels.com/used-cars/toyota-yaris-2023-for-sale-in-islamabad-9233929
Toyota Corolla  2022 Altis X Automatic 1.6,6400000,Islamabad,2022,237,Petrol,1598 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-islamabad-9202901
Toyota Corolla  2021 Altis Grande X CVT-i 1.8 Black Interior,6500000,Islamabad,2021,45115,Petrol,1800 ,Automatic,pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-9197938
Toyota Prius  2021 S Touring Selection,8800000,Karachi,2021,41037,Hybrid,1800 ,Automatic,pakwheels.com/used-cars/toyota-prius-2021-for-sale-in-karachi-9298330
Toyota Sienta  2018 G,63500000,Karachi,2018,111407,Petrol,1500 ,Automatic,pakwheels.com/used-cars/toyota-sienta-2018-for-sale-in-karachi-9166808
